,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 18:39:31.263000+00:00,56.33484054,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:32.199000+00:00,57.08364456,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:35.207000+00:00,55.05354876,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:36.199000+00:00,57.83265514,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:36.907000+00:00,58.58179421,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:37.570000+00:00,59.33077043,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:41.472000+00:00,58.67192191,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:42.273000+00:00,59.42079949,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:43.266000+00:00,60.16968996,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
2024-11-29 18:39:43.925000+00:00,60.91874912,0,1,0,0,317.125,-2.125,1,,-89.562,-24.562,-41.188,0.063,-0.011,0.09,2.6,0.41,9.49,1.33,0.59,-0.3,-0.38,-0.18,9.79,2.09625,15,30,0,12,-1,,,,0,1
