Unnamed: 0,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_1,alignment_2,fan_mode_no_fan,fan_mode_low_fan,fan_mode_high_fan
2024-11-27 23:02:10.085000+00:00,40.45388297,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:11.095000+00:00,40.45391211,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:12.094000+00:00,40.61854445,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:13.206000+00:00,40.31104849,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:14.104000+00:00,40.14620527,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:15.112000+00:00,39.98143908,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:16.155000+00:00,39.67393897,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:17.117000+00:00,39.67381362,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:18.114000+00:00,39.67387447,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:19.125000+00:00,39.83881056,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:20.125000+00:00,39.83914009,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:21.128000+00:00,39.83948038,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.49,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:22.144000+00:00,41.75093161,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:23.294000+00:00,43.66229284,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:24.155000+00:00,44.20480888,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:25.164000+00:00,44.34767142,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:26.174000+00:00,44.34797735,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:27.175000+00:00,44.54045193,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:28.203000+00:00,44.54062515,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:29.194000+00:00,44.54079493,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:30.204000+00:00,44.37610897,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:31.264000+00:00,44.37623976,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:32.374000+00:00,44.37635004,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:33.363000+00:00,44.68386459,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,-1.25,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:34.421000+00:00,44.84885739,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:35.363000+00:00,44.84895647,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:36.393000+00:00,45.15647264,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:37.376000+00:00,45.32107456,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:38.383000+00:00,45.51321206,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:39.393000+00:00,45.51291374,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:40.404000+00:00,45.34819983,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:41.413000+00:00,45.51270108,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:42.423000+00:00,45.51260854,0,1,0,0,315,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:43.432000+00:00,45.51256629,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:44.434000+00:00,45.5125215,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:45.433000+00:00,45.67719335,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:46.433000+00:00,45.67697615,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:47.434000+00:00,45.48456833,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:02:48.454000+00:00,45.48464354,0,1,0,0,315,-2,0,21.08,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,45,4.8,1,1016.39,44.3,-11.59,1,0,0,0,0,1
2024-11-27 23:01:48.125000+00:00,45.84135277,0,1,0,0,270,-2,0,21.05,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:48.176000+00:00,46.19817446,0,1,0,0,270,-2,0,21.05,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:51.794000+00:00,46.36282727,0,1,0,0,270,-2,0,21.05,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:51.845000+00:00,46.36293037,0,1,0,0,270,-2,0,21.05,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:51.895000+00:00,46.36303347,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:51.944000+00:00,46.36303812,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:54.930000+00:00,46.52768283,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:55.135000+00:00,46.52763171,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:55.185000+00:00,46.52761734,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:55.235000+00:00,46.1708539,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:58.644000+00:00,46.36294267,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:58.995000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:59.044000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:01:59.095000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:02.236000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:02.337000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:02.437000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:02.536000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:02.894000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:06.176000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:06.226000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:06.275000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:06.340000+00:00,46.52774152,0,1,0,0,270,-2,0,22.0,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:09.443000+00:00,46.52774152,0,1,0,0,270,-2,0,21.05,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:09.542000+00:00,46.52774152,0,1,0,0,270,-2,0,21.05,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:09.643000+00:00,46.52774152,0,1,0,0,270,-2,0,21.05,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
2024-11-27 23:02:12.994000+00:00,46.52774152,0,1,0,0,270,-2,0,21.05,-80.25,3.688,1.875,-0.009,0.061,-0.012,-0.46,-0.55,9.49,-0.12,-0.78,-0.32,-0.23,0.04,9.8,1.1325,0.0,0,90,4.8,2,1016.4,44.3,-11.72,1,0,0,0,0,1
