,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 19:19:06.972000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:07.981000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:08.990000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:10.002000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:11.015000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:19:12.169000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:43.795000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.25,-12.25,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:44.809000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-129.688,-12.562,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:45.818000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-128.188,-11.875,-17.562,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
2024-11-29 19:18:46.836000+00:00,0,0,0,0,1,0,-1.625,-0.312,,-128.25,-11.875,-17.25,0,-0.002,0.001,-0.29,0.05,9.4,0,0,-0.39,-0.28,0.05,9.8,0.08625,0,0,0,0,-1,,,,1,0
