,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_45
2024-11-29 18:21:46.172000+00:00,52.35331348,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:48.262000+00:00,50.27350646,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:49.212000+00:00,51.15324633,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:50.192000+00:00,51.88644859,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:51.212000+00:00,52.50677029,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:52.210000+00:00,53.0384736,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:53.221000+00:00,53.49929455,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:54.211000+00:00,53.9024504,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:55.220000+00:00,54.25832149,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:55.909000+00:00,54.94464631,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:56.929000+00:00,55.20816202,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:57.749000+00:00,55.77832794,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:58.750000+00:00,55.77820583,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:21:59.751000+00:00,57.77654289,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:22:01.652000+00:00,56.35693604,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:22:02.654000+00:00,56.35689891,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:22:03.654000+00:00,57.77639358,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:22:04.555000+00:00,58.10931174,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:22:05.556000+00:00,58.10934387,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
2024-11-29 18:22:06.556000+00:00,58.10922319,0,0,1,0,11.875,-1.688,0.75,,-82.25,-20,-44.188,-0.039,0.056,-0.022,-0.36,-0.24,9.34,0.26,-0.09,-0.45,-0.3,-0.14,9.8,1.92,5,10,0,6,-1,,,,1,0
