timestamp,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:09:23.397658+00:00,0,351.1875,-3.875,-0.6875,23,-11.0625,-20.0625,-41.6875,-0.02,0.001111111,-0.005555556,-0.42,0.1,9.4,0.31,-0.3,-0.33,-0.65,0.11,9.78,0.1625,0,0,5,150,64.9,1020.39,-44.77
2025-04-10 19:09:33.401981+00:00,0,352,-3.875,-0.75,23,-12.0625,-19.875,-43.25,0.001111111,-0.021111111,-0.016666667,-0.41,0.14,9.39,0.02,-0.29,-0.28,-0.66,0.13,9.78,0.025,-1.25,0,5,150,64.9,1020.39,-44.77
2025-04-10 19:09:43.405453+00:00,0,352.9375,-3.8125,-0.75,23,-11,-19.25,-42.5,-0.008888889,-0.003333333,-0.005555556,-0.42,0.14,9.47,0.09,0.05,-0.45,-0.65,0.13,9.78,0.15625,0,0,5,150,64.9,1020.39,-44.77
2025-04-10 19:09:53.410910+00:00,0,353.9375,-3.875,-0.6875,23,-11.6875,-19.5625,-41.6875,0.011111111,0.017777778,-0.045555556,-0.57,0.11,9.39,0.09,0,-0.38,-0.66,0.12,9.78,0.12,0,0,5,150,64.89,1020.52,-45.58
2025-04-10 19:10:03.430784+00:00,0,354.6875,-3.9375,-0.75,23,-11.6875,-19,-41.75,0.003333333,-0.014444444,0.025555556,-0.56,0.04,9.41,0.11,-0.08,-0.36,-0.67,0.13,9.78,0.1625,0,0,5,150,64.89,1020.52,-45.58
2025-04-10 19:10:13.450038+00:00,0,355.5625,-3.875,-0.6875,23,-11.5625,-18.875,-41,-0.003333333,0.017777778,0.03,-0.51,0.28,9.4,-0.01,-0.11,-0.38,-0.67,0.11,9.78,0.035,0,0,5,150,64.89,1020.52,-45.58
