,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude,low_fan,med_fan,high_fan
2025-04-10 17:48:58.222888+00:00,67.64775504,353.6875,-2.75,-1.3125,23,-11,5.375,-38.875,0.052222222222222225,0.036666667,-0.146666667,-1.06,0.38,9.48,-0.35,0.13,-0.3,-0.48,0.24,9.79,1.9312500000000001,1.25,0,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:48:59.111582+00:00,67.51635672,353.8125,-2.5625,-1.3125,23,-15.5,19.75,-53.375,-0.062222222,-0.034444444,0.073333333,0.22,0,9.43,0.67,-0.21,-0.36,-0.44,0.21,9.79,2.0075,2.5,0,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:00.014483+00:00,66.45143777560666,353.75,-2.75,-1.1875,23,-26.6875,14.375,-71.25,0.047777778,0.054444444,-0.056666667,-0.74,0.5,9.39,-0.26,0.28,-0.39,-0.48,0.22,9.79,1.93625,5,10,3.1,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:02.718665+00:00,67.72026057,354.1875,-2.8125,-1.4375,23,-24.375,-19.75,-67.75,-0.063333333,-0.078888889,0.15777777777777777,-0.48,0.77,9.34,-0.02,0.53,-0.44,-0.45,0.22,9.79,1.95375,6.25,10,3.1,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:03.604476+00:00,67.74051266839352,353.4375,-2.75,-1.25,23,-13.0625,-15.5,-42.375,0.084444444,0.056666666666666664,-0.048888889,-0.12,0.27,9.37,-0.37,0.3,-0.35,-0.49,0.24,9.79,2.06,7.5,10,3.1,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:04.509286+00:00,66.30625769353996,353.6875,-3.0625,-1.625,23,-12.75,-5.0625,-37,-0.076666667,-0.07,0.17444444444444446,-0.01,0.11,9.33,0.87,-0.52,-0.33,-0.49,0.26,9.79,2.0175,5,10,3,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:05.429698+00:00,65.18956161876196,353.3125,-3.125,-1.5,23,-11.375,4,-36.75,0.073333333,0.042222222222222223,-0.113333333,-0.02,0.16,9.43,0.51,-0.11,-0.34,-0.55,0.28,9.78,1.90625,1.25,0,3,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:06.362177+00:00,64.33830229140654,353.75,-3.0625,-1.625,23,-11.0625,15.875,-40.25,-0.031111111,-0.023333333,0.01,-0.46,0.35,9.45,0.05,0.07,-0.33,-0.52,0.28,9.78,1.905,5,10,2.9,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:07.265590+00:00,66.41676587728357,353.4375,-2.875,-1.4375,23,-21.75,23.1875,-63,-0.013333333,0.034444444444444444,-0.042222222,-0.12,-0.41,9.49,0.38,-0.66,-0.29,-0.51,0.24,9.79,1.91625,3.75,10,2.9,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:08.177169+00:00,65.81881522165556,353.625,-3.3125,-1.75,23,-27.1875,-8,-73.75,0.017777777777777778,-0.026666667,-0.05,-0.56,0.5,9.38,0,0.2,-0.4,-0.56,0.3,9.78,1.92,2.5,0,2.9,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:09.092063+00:00,65.58199278817149,353.5,-3.0625,-1.75,23,-16.75,-22.0625,-48.75,-0.028888889,0.018888889,0.03,0,-0.21,9.48,0.54,-0.5,-0.3,-0.53,0.29,9.78,2.005,7.5,10,3,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:10.876929+00:00,67.81544670228041,353.6875,-3.6875,-2,23,-11.875,-12.0625,-39.1875,0.048888889,0.036666667,-0.067777778,-1.13,1,9.34,-0.49,0.64,-0.43,-0.64,0.35,9.77,1.98,5,0,3,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:11.788172+00:00,65.84368203919566,353.1875,-3.1875,-1.5625,23,-5.875,-2.375,-34,-0.026666667,-0.02,-0.026666667,0.38,-0.83,9.41,0.93,-1.1,-0.37,-0.54,0.26,9.78,1.96,1.25,0,3,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:12.693364+00:00,66.28514294759971,353.4375,-3,-1.4375,23,-7.25,5.5625,-35.6875,0.043333333333333335,0.028888888888888888,-0.004444444,-0.71,0.72,9.4,-0.24,0.05,-0.36,-0.52,0.26,9.78,1.9837500000000001,5,10,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:13.606231+00:00,65.72629817267807,353.6875,-3,-1.375,23,-6.1875,14.875,-39.1875,-0.058888889,-0.085555556,0.047777778,-0.28,0.49,9.39,0.21,0.26,-0.39,-0.49,0.22,9.79,1.98875,1.25,0,2.8,0,65.82,1021,-49.62,0,1,0
2025-04-10 17:49:14.493683+00:00,67.60635664308424,353.25,-3,-1.3125,23,-22,18.1875,-66.375,0.042222222222222223,0.055555556,-0.067777778,-0.47,-0.31,9.45,0,-0.4,-0.44,-0.53,0.24,9.78,1.93625,2.5,0,2.8,0,65.82,1021,-49.62,0,1,0
