,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 17:52:33.990000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:35.027000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:36.077000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:37.122000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:38.170000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:39.224000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:40.269000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:41.318000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:42.372000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:43.426000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:44.477000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:45.527000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:46.572000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:47.623000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:48.670000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:49.715000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:50.766000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:51.818000+00:00,,,,,348.9375,-2.3125,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:53.216000+00:00,,,,,,,,,0.0,-25.5,-34.5625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:54.270000+00:00,,,,,,,,,-1.1875,-25.5,-33.75,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:55.322000+00:00,,,,,,,,,-1.1875,-25.0625,-33.375,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:56.370000+00:00,,,,,,,,,0.0,-25.5,-35.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:57.403000+00:00,,,,,,,,,-0.75,-26.1875,-35.0,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:58.459000+00:00,,,,,,,,,0.25,-25.0625,-34.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:51:59.506000+00:00,,,,,,,,,0.0,-25.5,-35.375,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:00.556000+00:00,,,,,,,,,-0.375,-25.5,-34.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:01.604000+00:00,,,,,,,,,0.0,-25.875,-34.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:02.656000+00:00,,,,,,,,,-0.375,-26.1875,-34.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:03.694000+00:00,,,,,,,,,-0.75,-25.875,-34.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:04.744000+00:00,,,,,,,,,-0.375,-26.1875,-34.1875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:05.794000+00:00,,,,,,,,,0.0,-26.5625,-35.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:06.845000+00:00,,,,,,,,,0.25,-24.6875,-33.875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:07.896000+00:00,,,,,,,,,-0.375,-25.5,-34.6875,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:08.947000+00:00,,,,,,,,,-1.1875,-25.5,-34.25,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:09.998000+00:00,,,,,,,,,0.0,-25.5,-35.375,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:11.033000+00:00,,,,,,,,,0.0,-25.5,-34.25,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:12.084000+00:00,,,,,,,,,0.0,-25.875,-35.0625,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:13.131000+00:00,,,,,,,,,0.25,-25.0625,-34.25,,,,,,,,,,,,,,,,,,,,,
2025-04-10 17:52:14.179000+00:00,,,,,,,,,-1.1875,-25.5,-35.0625,,,,,,,,,,,,,,,,,,,,,
