timestamp,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 18:53:21.700000+00:00,,341.6875,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:22.737000+00:00,,341.625,-2.25,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:23.785000+00:00,,341.625,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:24.834000+00:00,,341.625,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:25.880000+00:00,,341.5625,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:26.931000+00:00,,341.5,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:27.981000+00:00,,341.5,-2.25,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:29.031000+00:00,,341.4375,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:30.079000+00:00,,341.4375,-2.25,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:31.128000+00:00,,341.375,-2.125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:32.176000+00:00,,341.4375,-2.25,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:33.212000+00:00,,341.375,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:34.260000+00:00,,341.4375,-2.125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:35.308000+00:00,,341.375,-2.0625,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:36.812000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:37.861000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:38.908000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:39.953000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:41.002000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:42.037000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:43.085000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:44.136000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:45.182000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:46.224000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:47.270000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:48.310000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:49.363000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:50.409000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:51.456000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:52.503000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:53.552000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:54.588000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:55.634000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:56.678000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:57.718000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:58.763000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:59.810000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:00.845000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:01.888000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:02.937000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:03.985000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:05.031000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:06.081000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:07.131000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:08.181000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:09.217000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:10.249000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:11.284000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:12.318000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:13.356000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:14.396000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:15.433000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:16.483000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:17.530000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:18.570000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:19.623000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:20.670000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:21.709000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:22.753000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:23.805000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:24.853000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:25.901000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:26.951000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:28.001000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:29.052000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:30.099000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:31.148000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:32.181000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:33.228000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:34.279000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:35.324000+00:00,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:52:36.817000+00:00,,,,,,-3.375,-20.875,-28.875,,,,,,,,,,,,,,,,,,,,,
