timestamp,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 18:53:52.073946+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:02.078595+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:12.097447+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:22.112162+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:32.129231+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:42.144356+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:50.976000+00:00,,341.0625,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:52.027000+00:00,,341.0625,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:53.087000+00:00,,341.0625,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:54.122000+00:00,,341.125,-2.375,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:55.172000+00:00,,341.0625,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:56.218000+00:00,,341,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:57.253000+00:00,,340.9375,-2.375,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:58.285000+00:00,,340.9375,-2.375,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:53:59.318000+00:00,,340.9375,-2.3125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:00.353000+00:00,,340.875,-2.3125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:01.385000+00:00,,340.8125,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:02.428000+00:00,,340.875,-2.375,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:03.462000+00:00,,340.875,-2.3125,-1.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:04.498000+00:00,,340.875,-2.3125,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:05.535000+00:00,,340.875,-2.25,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:06.582000+00:00,,340.875,-2.25,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:07.632000+00:00,,340.8125,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:08.682000+00:00,,340.875,-2.375,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:09.734000+00:00,,340.8125,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:10.785000+00:00,,340.8125,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 18:54:11.833000+00:00,,340.6875,-2.3125,-1.4375,,,,,,,,,,,,,,,,,,,,,,,,,
