timestamp,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:14:13.805158+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:23.821489+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:33.832878+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:43.853272+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:53.859769+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:15:03.877793+00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:09.164000+00:00,,7.8125,-3.4375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:10.215000+00:00,,7.8125,-3.4375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:11.261000+00:00,,7.8125,-3.4375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:12.312000+00:00,,7.8125,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:13.360000+00:00,,7.875,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:14.411000+00:00,,7.8125,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:15.459000+00:00,,7.8125,-3.375,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:16.508000+00:00,,7.8125,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:17.558000+00:00,,7.8125,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:18.593000+00:00,,7.8125,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:19.627000+00:00,,7.8125,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:20.660000+00:00,,7.8125,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:21.713000+00:00,,7.875,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-10 19:14:22.761000+00:00,,7.875,-3.3125,-0.5625,,,,,,,,,,,,,,,,,,,,,,,,,
