Unnamed: 0,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,north,northeast,east,southeast,south,southwest,west,northwest,pressure_value,humidity_value,altitude_value,alignment_0,alignment_1,alignment_2,fan_mode_no_fan,fan_mode_low_fan,fan_mode_high_fan
2024-11-25 19:50:22.354000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:23.355000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:24.373000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:25.373000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:26.383000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:27.373000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:28.381000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:29.503000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:30.532000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:31.691000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:32.412000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:33.391000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:34.401000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:35.419000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:36.600000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:37.599000+00:00,0,60,60,60,360,-2.625,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:38.670000+00:00,0,60,60,60,360,-2.562,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:39.432000+00:00,0,60,60,60,360,-2.625,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:40.428000+00:00,0,60,60,60,360,-2.625,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:41.431000+00:00,0,60,60,60,360,-2.625,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:42.440000+00:00,0,60,60,60,360,-2.625,-0.188,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:43.449000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:44.460000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:45.471000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:46.482000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:47.491000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:48.574000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:49.729000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:50.766000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
2024-11-25 19:50:51.772000+00:00,0,60,60,60,360,-2.625,-0.125,23,-30.375,-18.062,-22.75,-0.001,-0.001,0.003,-0.43,0.02,9.43,0.01,-0.01,-0.35,-0.44,0.04,9.79,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1015.78,44.36,-6.33,1,0,0,1,0,0
