Unnamed: 0,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_1,alignment_2,fan_mode_no_fan,fan_mode_low_fan,fan_mode_high_fan
2024-11-27 23:01:48.125000+00:00,0,60,60,60,315,-1.375,1.25,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:48.176000+00:00,0,60,60,60,315,-1.375,1.25,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:51.794000+00:00,0,60,60,60,315,-1.375,1.25,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:51.845000+00:00,0,60,60,60,315,-1.375,1.25,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:51.895000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:51.944000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:54.930000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:55.135000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:55.185000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:55.235000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:58.644000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:58.995000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:59.044000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:01:59.095000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:02:02.236000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:02:02.337000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:02:02.437000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:02:02.536000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:02:02.894000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:02:06.176000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:02:06.226000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
2024-11-27 23:02:06.275000+00:00,0,60,60,60,315,-1.375,1.25,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,0.8075,0,0,45,5.6,1,1016.4,44.3,-11.72,0,1,0,0,1,0
