,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_temp_c,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,weatherstation_speed,weatherstation_direction,weatherstation_humidity,weatherstation_pressure,weatherstation_altitude
2025-04-10 19:14:13.805158+00:00,0,7.875,-3.375,-0.5625,23,-12,-20.1875,-42.1875,-0.003333333,-0.002222222,-0.003333333,-0.6,0.11,9.43,0.01,-0.03,-0.36,-0.58,0.09,9.78,0.095,0,0,2.8,1,65.14,1020.37,-44.37
2025-04-10 19:14:23.821489+00:00,0,7.9375,-3.3125,-0.5625,23,-20.25,-32.5625,-71.75,-0.001111111,-0.006666667,0.003333333,-0.56,0,9.4,0.01,-0.09,-0.38,-0.57,0.1,9.78,0.165,0,0,3,1,64.95,1020.36,-44.43
2025-04-10 19:14:33.832878+00:00,0,8,-3.25,-0.5625,23,-21.75,-33.25,-70.5625,0,0.005555556,-0.002222222,-0.64,0.06,9.43,-0.07,-0.06,-0.34,-0.56,0.1,9.78,0.045,0,0,3.1,1,64.95,1020.36,-44.43
2025-04-10 19:14:43.853272+00:00,0,8.1875,-3.5,-0.5625,23,-21.0625,-33.25,-71.375,-0.007777778,-0.005555556,0,-0.5,0.06,9.42,0.1,-0.03,-0.36,-0.6,0.1,9.78,0.145,-1.25,0,3.1,1,64.95,1020.36,-44.43
2025-04-10 19:14:53.859769+00:00,0,8.3125,-3.5,-0.5625,23,-19.875,-33.25,-70.25,0.001111111,-0.01,-0.002222222,-0.7,0.11,9.42,-0.11,0.05,-0.37,-0.6,0.09,9.78,0.005,1.25,0,3.2,1,64.99,1020.4,-44.94
2025-04-10 19:15:03.877793+00:00,0,8.4375,-3.5625,-0.5625,23,-19.5625,-32.1875,-72.1875,0,-0.002222222,-0.01,-0.65,0.13,9.44,-0.04,0.03,-0.33,-0.61,0.09,9.78,0.13375,0,0,3.2,1,64.99,1020.4,-44.94
