,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value
2024-11-14 18:30:47.779000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:47.829000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:47.887000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:48.389000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:48.436000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:48.495000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:48.552000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:48.614000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:48.674000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:48.735000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:48.790000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.240000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.338000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.343000+00:00,0.0,120.375,0.812,1.188,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.403000+00:00,0.0,120.25,0.125,1.0,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.460000+00:00,0.0,120.25,0.125,1.0,22.0,17.25,-26.0,-66.062,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.518000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.003,-0.008,-0.007,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.570000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,0.36,-0.35,9.33,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.627000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,0.22,-0.15,-0.47,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.687000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.14,-0.2,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.748000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:49.810000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.20625,-1.25,0.0,0.0
2024-11-14 18:30:50.244000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.20625,0.0,0.0,0.0
2024-11-14 18:30:50.340000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.344000+00:00,0.0,120.25,0.125,1.0,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.396000+00:00,0.0,120.25,0.0,0.875,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.458000+00:00,0.0,120.25,0.0,0.875,22.0,27.688,-1.875,-55.25,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.518000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.022,0.001,-0.058,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.573000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,-0.61,-0.17,9.41,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.625000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,-0.64,0.0,-0.39,0.02,-0.17,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.681000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.02,-0.17,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.742000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:50.804000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:51.247000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.27625,0.0,0.0,0.0
2024-11-14 18:30:51.298000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.5,0.0,0.0,0.0
2024-11-14 18:30:51.347000+00:00,0.0,120.25,0.0,0.875,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.5,0.0,0.0,0.0
2024-11-14 18:30:51.398000+00:00,0.0,120.25,-0.125,0.938,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.5,0.0,0.0,0.0
2024-11-14 18:30:51.452000+00:00,0.0,120.25,-0.125,0.938,22.0,19.188,-20.875,-59.188,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.5,0.0,0.0,0.0
2024-11-14 18:30:51.513000+00:00,0.0,120.25,-0.125,0.938,22.0,14.562,1.25,-92.25,-0.012,-0.031,-0.01,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.5,0.0,0.0,0.0
2024-11-14 18:30:51.574000+00:00,0.0,120.25,-0.125,0.938,22.0,14.562,1.25,-92.25,-0.022,-0.028,0.042,0.35,-0.05,9.36,0.34,0.09,-0.44,0.0,-0.15,9.8,1.5,0.0,0.0,0.0
2024-11-14 18:30:51.635000+00:00,0.0,120.25,-0.125,0.938,22.0,14.562,1.25,-92.25,-0.022,-0.028,0.042,0.33,-0.13,9.39,0.34,0.09,-0.44,0.0,-0.15,9.8,1.5,0.0,0.0,0.0
