temperature_value,vibration_magnitude,temperature_warning,vibration_warning,shutdown_decision
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.344913054705218,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.333027375937563,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.46409002493108,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.472792618863775,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.455569787167772,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.519438008622148,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.369311607583558,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.478048322307709,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.470744426918086,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.463350358091999,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.357066848110042,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.339539603213854,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.345448089845664,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.391363053359187,False,True,True
22.0,9.406731632187665,False,True,True
22.0,9.406731632187665,False,True,True
22.0,9.406731632187665,False,True,True
22.0,9.406731632187665,False,True,True
