,rpm_value,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value
2024-11-14 18:52:47.118000+00:00,53.98983704609552,353.5,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:47.177000+00:00,53.98983704609552,353.5,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:47.227000+00:00,53.98983704609552,353.5,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:47.279000+00:00,53.98983704609552,353.5,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:47.330000+00:00,53.98983704609552,353.5,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:47.484000+00:00,53.98983704609552,353.5,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:47.533000+00:00,54.26238358155547,353.5,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.129000+00:00,54.26238358155547,353.375,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.195000+00:00,54.26238358155547,353.375,-0.062,1.375,22.0,14.875,2.5,-78.062,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.241000+00:00,54.26238358155547,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,-0.01,0.004,-0.016,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.302000+00:00,54.26238358155547,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,-0.52,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.353000+00:00,54.26238358155547,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.405000+00:00,54.26238358155547,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.455000+00:00,54.26238358155547,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.507000+00:00,54.535014462756536,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.563000+00:00,55.03475936852986,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.618000+00:00,55.03475936852986,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.670000+00:00,55.03475936852986,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:48.726000+00:00,55.03475936852986,353.375,-0.062,1.375,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:49.139000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:49.206000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,20.188,-0.375,-64.562,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:49.253000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.0,-0.024,0.012,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:49.316000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,0.22,-0.09,9.33,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:49.366000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,0.22,0.26,-0.38,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:49.430000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.01,-0.23,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:49.478000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.6125,1.25,0.0,0.0
2024-11-14 18:52:49.530000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.6125,-1.25,0.0,0.0
2024-11-14 18:52:49.586000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.63875,-1.25,0.0,0.0
2024-11-14 18:52:49.637000+00:00,55.03475936852986,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.63875,-1.25,0.0,0.0
2024-11-14 18:52:49.682000+00:00,55.034993079293955,353.375,-0.438,1.25,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.63875,-1.25,0.0,0.0
2024-11-14 18:52:50.147000+00:00,55.034993079293955,353.438,-0.625,1.375,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.63875,-1.25,0.0,0.0
2024-11-14 18:52:50.208000+00:00,55.034993079293955,353.438,-0.625,1.375,22.0,16.75,-12.5,-52.25,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.63875,-1.25,0.0,0.0
2024-11-14 18:52:50.256000+00:00,55.034993079293955,353.438,-0.625,1.375,22.0,14.688,-16.562,-50.688,0.02,-0.008,-0.003,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.63875,-1.25,0.0,0.0
2024-11-14 18:52:50.308000+00:00,55.034993079293955,353.438,-0.625,1.375,22.0,14.688,-16.562,-50.688,0.016,-0.012,0.049,-0.36,-0.37,9.45,-0.29,-0.14,-0.35,-0.07,-0.22,9.8,1.63875,-1.25,0.0,0.0
